"PassengerId","Survived","Pclass","Name","Sex","SibSp","Parch","Ticket","Fare","Cabin","Embarked","Title","FamilySize","Surname","FamilyID","Age"
902,NA,3,"Ilieff, Mr. Ylio","male",0,0,"349220",7.8958,"","S","Mr",1,"Ilieff","Small",29.9520295202952
914,NA,1,"Flegenheim, Mrs. Alfred (Antoinette)","female",0,0,"PC 17598",31.6833,"","S","Mrs",1,"Flegenheim","Small",42.5092165898618
921,NA,3,"Samaan, Mr. Elias","male",2,0,"2662",21.6792,"","C","Mr",3,"Samaan","3Samaan",29.9520295202952
925,NA,3,"Johnston, Mrs. Andrew G (Elizabeth Lily"" Watson)""","female",1,2,"W./C. 6607",23.45,"","S","Mrs",4,"Johnston","4Johnston",29.9520295202952
928,NA,3,"Roth, Miss. Sarah A","female",0,0,"342712",8.05,"","S","Miss",1,"Roth","Small",22.3115942028986
931,NA,3,"Hee, Mr. Ling","male",0,0,"1601",56.4958,"","S","Mr",1,"Hee","Small",29.9520295202952
933,NA,1,"Franklin, Mr. Thomas Parham","male",0,0,"113778",26.55,"D34","S","Mr",1,"Franklin","Small",42.5092165898618
939,NA,3,"Shaughnessy, Mr. Patrick","male",0,0,"370374",7.75,"","Q","Mr",1,"Shaughnessy","Small",29.9520295202952
946,NA,2,"Mangiavacchi, Mr. Serafino Emilio","male",0,0,"SC/A.3 2861",15.5792,"","C","Mr",1,"Mangiavacchi","Small",29.9520295202952
950,NA,3,"Davison, Mr. Thomas Henry","male",1,0,"386525",16.1,"","S","Mr",2,"Davison","Small",29.9520295202952
957,NA,2,"Corey, Mrs. Percy C (Mary Phyllis Elizabeth Miller)","female",0,0,"F.C.C. 13534",21,"","S","Mrs",1,"Corey","Small",29.9520295202952
968,NA,3,"Miles, Mr. Frank","male",0,0,"359306",8.05,"","S","Mr",1,"Miles","Small",29.9520295202952
975,NA,3,"Demetri, Mr. Marinko","male",0,0,"349238",7.8958,"","S","Mr",1,"Demetri","Small",29.9520295202952
976,NA,2,"Lamb, Mr. John Joseph","male",0,0,"240261",10.7083,"","Q","Mr",1,"Lamb","Small",29.9520295202952
977,NA,3,"Khalil, Mr. Betros","male",1,0,"2660",14.4542,"","C","Mr",2,"Khalil","Small",29.9520295202952
980,NA,3,"O'Donoghue, Ms. Bridget","female",0,0,"364856",7.75,"","Q","Ms",1,"O'Donoghue","Small",29.9520295202952
983,NA,3,"Pedersen, Mr. Olaf","male",0,0,"345498",7.775,"","S","Mr",1,"Pedersen","Small",29.9520295202952
985,NA,3,"Guest, Mr. Robert","male",0,0,"376563",8.05,"","S","Mr",1,"Guest","Small",29.9520295202952
994,NA,3,"Foley, Mr. William","male",0,0,"365235",7.75,"","Q","Mr",1,"Foley","Small",29.9520295202952
999,NA,3,"Ryan, Mr. Edward","male",0,0,"383162",7.75,"","Q","Mr",1,"Ryan","Small",29.9520295202952
1000,NA,3,"Willer, Mr. Aaron (Abi Weller"")""","male",0,0,"3410",8.7125,"","S","Mr",1,"Willer","Small",29.9520295202952
1003,NA,3,"Shine, Miss. Ellen Natalia","female",0,0,"330968",7.7792,"","Q","Miss",1,"Shine","Small",22.3115942028986
1008,NA,3,"Thomas, Mr. John","male",0,0,"2681",6.4375,"","C","Mr",1,"Thomas","Small",29.9520295202952
1013,NA,3,"Kiernan, Mr. John","male",1,0,"367227",7.75,"","Q","Mr",2,"Kiernan","Small",29.9520295202952
1016,NA,3,"Kennedy, Mr. John","male",0,0,"368783",7.75,"","Q","Mr",1,"Kennedy","Small",29.9520295202952
1019,NA,3,"McCoy, Miss. Alicia","female",2,0,"367226",23.25,"","Q","Miss",3,"McCoy","3McCoy",22.3115942028986
1024,NA,3,"Lefebre, Mrs. Frank (Frances)","female",0,4,"4133",25.4667,"","S","Mrs",5,"Lefebre","5Lefebre",41.0476190476191
1025,NA,3,"Thomas, Mr. Charles P","male",1,0,"2621",6.4375,"","C","Mr",2,"Thomas","Small",29.9520295202952
1038,NA,1,"Hilliard, Mr. Herbert Henry","male",0,0,"17463",51.8625,"E46","S","Mr",1,"Hilliard","Small",42.5092165898618
1040,NA,1,"Crafton, Mr. John Bertram","male",0,0,"113791",26.55,"","S","Mr",1,"Crafton","Small",42.5092165898618
1043,NA,3,"Matinoff, Mr. Nicola","male",0,0,"349255",7.8958,"","C","Mr",1,"Matinoff","Small",29.9520295202952
1052,NA,3,"Smyth, Miss. Julia","female",0,0,"335432",7.7333,"","Q","Miss",1,"Smyth","Small",22.3115942028986
1055,NA,3,"Pearce, Mr. Ernest","male",0,0,"343271",7,"","S","Mr",1,"Pearce","Small",29.9520295202952
1060,NA,1,"Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)","female",0,0,"17770",27.7208,"","C","Mrs",1,"Cassebeer","Small",42.5092165898618
1062,NA,3,"Lithman, Mr. Simon","male",0,0,"S.O./P.P. 251",7.55,"","S","Mr",1,"Lithman","Small",29.9520295202952
1065,NA,3,"Torfa, Mr. Assad","male",0,0,"2673",7.2292,"","C","Mr",1,"Torfa","Small",29.9520295202952
1075,NA,3,"Lane, Mr. Patrick","male",0,0,"7935",7.75,"","Q","Mr",1,"Lane","Small",29.9520295202952
1080,NA,3,"Sage, Miss. Ada","female",8,2,"CA. 2343",69.55,"","S","Miss",11,"Sage","11Sage",15.28125
1083,NA,1,"Salomon, Mr. Abraham L","male",0,0,"111163",26,"","S","Mr",1,"Salomon","Small",42.5092165898618
1091,NA,3,"Rasmussen, Mrs. (Lena Jacobsen Solvang)","female",0,0,"65305",8.1125,"","S","Mrs",1,"Rasmussen","Small",29.9520295202952
1092,NA,3,"Murphy, Miss. Nora","female",0,0,"36568",15.5,"","Q","Miss",1,"Murphy","Small",22.3115942028986
1097,NA,1,"Omont, Mr. Alfred Fernand","male",0,0,"F.C. 12998",25.7417,"","C","Mr",1,"Omont","Small",42.5092165898618
1103,NA,3,"Finoli, Mr. Luigi","male",0,0,"SOTON/O.Q. 3101308",7.05,"","S","Mr",1,"Finoli","Small",29.9520295202952
1108,NA,3,"Mahon, Miss. Bridget Delia","female",0,0,"330924",7.8792,"","Q","Miss",1,"Mahon","Small",22.3115942028986
1111,NA,3,"Thomson, Mr. Alexander Morrison","male",0,0,"32302",8.05,"","S","Mr",1,"Thomson","Small",29.9520295202952
1117,NA,3,"Moubarek, Mrs. George (Omine Amenia"" Alexander)""","female",0,2,"2661",15.2458,"","C","Mrs",3,"Moubarek","3Moubarek",29.9520295202952
1119,NA,3,"McNeill, Miss. Bridget","female",0,0,"370368",7.75,"","Q","Miss",1,"McNeill","Small",22.3115942028986
1125,NA,3,"Linehan, Mr. Michael","male",0,0,"330971",7.8792,"","Q","Mr",1,"Linehan","Small",29.9520295202952
1135,NA,3,"Hyman, Mr. Abraham","male",0,0,"3470",7.8875,"","S","Mr",1,"Hyman","Small",29.9520295202952
1136,NA,3,"Johnston, Master. William Arthur Willie""""","male",1,2,"W./C. 6607",23.45,"","S","Master",4,"Johnston","4Johnston",4.83916666666667
1141,NA,3,"Khalil, Mrs. Betros (Zahie Maria"" Elias)""","female",1,0,"2660",14.4542,"","C","Mrs",2,"Khalil","Small",29.9520295202952
1147,NA,3,"MacKay, Mr. George William","male",0,0,"C.A. 42795",7.55,"","S","Mr",1,"MacKay","Small",29.9520295202952
1148,NA,3,"Mahon, Mr. John","male",0,0,"AQ/4 3130",7.75,"","Q","Mr",1,"Mahon","Small",29.9520295202952
1157,NA,3,"Lyntakoff, Mr. Stanko","male",0,0,"349235",7.8958,"","S","Mr",1,"Lyntakoff","Small",29.9520295202952
1158,NA,1,"Chisholm, Mr. Roderick Robert Crispin","male",0,0,"112051",0,"","S","Mr",1,"Chisholm","Small",42.5092165898618
1159,NA,3,"Warren, Mr. Charles William","male",0,0,"C.A. 49867",7.55,"","S","Mr",1,"Warren","Small",29.9520295202952
1160,NA,3,"Howard, Miss. May Elizabeth","female",0,0,"A. 2. 39186",8.05,"","S","Miss",1,"Howard","Small",22.3115942028986
1163,NA,3,"Fox, Mr. Patrick","male",0,0,"368573",7.75,"","Q","Mr",1,"Fox","Small",29.9520295202952
1165,NA,3,"Lennon, Miss. Mary","female",1,0,"370371",15.5,"","Q","Miss",2,"Lennon","Small",22.3115942028986
1166,NA,3,"Saade, Mr. Jean Nassr","male",0,0,"2676",7.225,"","C","Mr",1,"Saade","Small",29.9520295202952
1174,NA,3,"Fleming, Miss. Honora","female",0,0,"364859",7.75,"","Q","Miss",1,"Fleming","Small",22.3115942028986
1178,NA,3,"Franklin, Mr. Charles (Charles Fardon)","male",0,0,"SOTON/O.Q. 3101314",7.25,"","S","Mr",1,"Franklin","Small",29.9520295202952
1180,NA,3,"Mardirosian, Mr. Sarkis","male",0,0,"2655",7.2292,"F E46","C","Mr",1,"Mardirosian","Small",29.9520295202952
1181,NA,3,"Ford, Mr. Arthur","male",0,0,"A/5 1478",8.05,"","S","Mr",1,"Ford","Small",29.9520295202952
1182,NA,1,"Rheims, Mr. George Alexander Lucien","male",0,0,"PC 17607",39.6,"","S","Mr",1,"Rheims","Small",42.5092165898618
1184,NA,3,"Nasr, Mr. Mustafa","male",0,0,"2652",7.2292,"","C","Mr",1,"Nasr","Small",29.9520295202952
1189,NA,3,"Samaan, Mr. Hanna","male",2,0,"2662",21.6792,"","C","Mr",3,"Samaan","3Samaan",29.9520295202952
1193,NA,2,"Malachard, Mr. Noel","male",0,0,"237735",15.0458,"D","C","Mr",1,"Malachard","Small",29.9520295202952
1196,NA,3,"McCarthy, Miss. Catherine Katie""""","female",0,0,"383123",7.75,"","Q","Miss",1,"McCarthy","Small",22.3115942028986
1204,NA,3,"Sadowitz, Mr. Harry","male",0,0,"LP 1588",7.575,"","S","Mr",1,"Sadowitz","Small",29.9520295202952
1224,NA,3,"Thomas, Mr. Tannous","male",0,0,"2684",7.225,"","C","Mr",1,"Thomas","Small",29.9520295202952
1231,NA,3,"Betros, Master. Seman","male",0,0,"2622",7.2292,"","C","Master",1,"Betros","Small",22.3115942028986
1234,NA,3,"Sage, Mr. John George","male",1,9,"CA. 2343",69.55,"","S","Mr",11,"Sage","11Sage",41.0476190476191
1236,NA,3,"van Billiard, Master. James William","male",1,1,"A/5. 851",14.5,"","S","Master",3,"van Billiard","3van Billiard",15.28125
1249,NA,3,"Lockyer, Mr. Edward","male",0,0,"1222",7.8792,"","S","Mr",1,"Lockyer","Small",29.9520295202952
1250,NA,3,"O'Keefe, Mr. Patrick","male",0,0,"368402",7.75,"","Q","Mr",1,"O'Keefe","Small",29.9520295202952
1257,NA,3,"Sage, Mrs. John (Annie Bullen)","female",1,9,"CA. 2343",69.55,"","S","Mrs",11,"Sage","11Sage",41.0476190476191
1258,NA,3,"Caram, Mr. Joseph","male",1,0,"2689",14.4583,"","C","Mr",2,"Caram","Small",29.9520295202952
1272,NA,3,"O'Connor, Mr. Patrick","male",0,0,"366713",7.75,"","Q","Mr",1,"O'Connor","Small",29.9520295202952
1274,NA,3,"Risien, Mrs. Samuel (Emma)","female",0,0,"364498",14.5,"","S","Mrs",1,"Risien","Small",29.9520295202952
1276,NA,2,"Wheeler, Mr. Edwin Frederick""""","male",0,0,"SC/PARIS 2159",12.875,"","S","Mr",1,"Wheeler","Small",29.9520295202952
1300,NA,3,"Riordan, Miss. Johanna Hannah""""","female",0,0,"334915",7.7208,"","Q","Miss",1,"Riordan","Small",22.3115942028986
1302,NA,3,"Naughton, Miss. Hannah","female",0,0,"365237",7.75,"","Q","Miss",1,"Naughton","Small",22.3115942028986
1305,NA,3,"Spector, Mr. Woolf","male",0,0,"A.5. 3236",8.05,"","S","Mr",1,"Spector","Small",29.9520295202952
1308,NA,3,"Ware, Mr. Frederick","male",0,0,"359309",8.05,"","S","Mr",1,"Ware","Small",29.9520295202952
1309,NA,3,"Peter, Master. Michael J","male",1,1,"2668",22.3583,"","C","Master",3,"Peter","3Peter",4.83916666666667
892,NA,3,"Kelly, Mr. James","male",0,0,"330911",7.8292,"","Q","Mr",1,"Kelly","Small",34.5
893,NA,3,"Wilkes, Mrs. James (Ellen Needs)","female",1,0,"363272",7,"","S","Mrs",2,"Wilkes","Small",47
894,NA,2,"Myles, Mr. Thomas Francis","male",0,0,"240276",9.6875,"","Q","Mr",1,"Myles","Small",62
895,NA,3,"Wirz, Mr. Albert","male",0,0,"315154",8.6625,"","S","Mr",1,"Wirz","Small",27
896,NA,3,"Hirvonen, Mrs. Alexander (Helga E Lindqvist)","female",1,1,"3101298",12.2875,"","S","Mrs",3,"Hirvonen","Small",22
897,NA,3,"Svensson, Mr. Johan Cervin","male",0,0,"7538",9.225,"","S","Mr",1,"Svensson","Small",14
898,NA,3,"Connolly, Miss. Kate","female",0,0,"330972",7.6292,"","Q","Miss",1,"Connolly","Small",30
899,NA,2,"Caldwell, Mr. Albert Francis","male",1,1,"248738",29,"","S","Mr",3,"Caldwell","3Caldwell",26
900,NA,3,"Abrahim, Mrs. Joseph (Sophie Halaut Easu)","female",0,0,"2657",7.2292,"","C","Mrs",1,"Abrahim","Small",18
901,NA,3,"Davies, Mr. John Samuel","male",2,0,"A/4 48871",24.15,"","S","Mr",3,"Davies","3Davies",21
903,NA,1,"Jones, Mr. Charles Cresson","male",0,0,"694",26,"","S","Mr",1,"Jones","Small",46
904,NA,1,"Snyder, Mrs. John Pillsbury (Nelle Stevenson)","female",1,0,"21228",82.2667,"B45","S","Mrs",2,"Snyder","Small",23
905,NA,2,"Howard, Mr. Benjamin","male",1,0,"24065",26,"","S","Mr",2,"Howard","Small",63
906,NA,1,"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)","female",1,0,"W.E.P. 5734",61.175,"E31","S","Mrs",2,"Chaffee","Small",47
